-1.44,-0.49439,2.4768,-0.75836
-0.62,-6.06152,57.78918,-76.26348
-0.05,-8.82091,-5.93145,3.699
-0.01,-0.50362,-0.42139,-1.17665
0.03,0.97021,-5.96774,4.85823
0.08,1.68845,8.82782,9.30687
0.18,46.22087,229.94374,-33.80503
0.4,-1.46237,3.16092,0.31864
0.45,21.72509,9.8678,-37.07729
0.45,2.738,129.93909,16.89611
0.61,-68.26692,-40.94761,-139.97775
0.76,2.36166,-4.49935,0.79277
0.77,-44.18934,-5.15177,-87.6883
0.87,6.86574,17.86724,5.67336
0.96,1.68888,8.82647,9.30807
0.98,-73.47908,-28.64586,-15.56035
1.06,-63.85476,-153.03932,-82.43231
1.16,-4.04731,8.17808,4.85711
1.17,6.43705,-1.79583,-3.79976
1.25,-53.38329,-11.2793,-93.32933
1.25,451.13764,-530.87341,703.52277
1.35,-0.50359,-0.42128,-1.1767
1.36,-20.53948,10.87804,4.92638
1.5,-29.24151,111.80822,-63.98725
1.58,-5.38337,12.29279,8.34945
1.59,-14.50465,-1.98466,-22.64057
1.62,-19.74938,-170.74621,-130.01296
1.64,11.22414,73.20302,8.24121
1.65,5.16912,34.89105,19.23714
1.67,-8.8216,7.85948,-31.96982
1.69,42.62509,409.21811,-8.63204
1.73,18.74799,-9.94423,-22.72651
1.74,21.00476,249.60027,-8.49571
1.75,-93.54538,147.49982,-189.52262
1.76,-13.50599,-3.24419,20.56192
1.79,73.49915,91.02548,138.7451
1.79,3.85283,-36.39388,-25.04395
1.81,-17.40365,4.36095,33.39272
1.83,-144.70267,470.42596,-244.24669
1.85,-17.95173,-9.10176,23.4111
1.86,-57.28142,79.92552,-166.99876
1.86,-6.02696,-60.70066,-56.87827
1.9,0.03658,17.81857,17.78594
1.91,-13.96373,-43.4037,-118.94944
1.93,-5.04957,30.40998,9.07235
1.93,-9.29987,10.63221,-19.95657
1.94,18.29157,-24.79932,-46.97423
1.97,1.33964,1.04462,132.26422
1.98,-14.40557,144.96655,-47.21059
1.99,-42.27896,33.15465,-8.18195
2.01,15.75753,9.76736,8.04675
2.01,-32.83705,15.31751,13.07493
2.04,27.43768,5.28206,-9.07156
2.05,14.72463,-59.87436,-30.4689
2.06,-12.80444,-7.89959,-11.07957
2.07,25.99003,0.95143,14.4701
2.07,47.40547,14.8855,35.60015
2.07,11.64567,217.78459,-37.1607
2.07,-7.78315,-7.17621,37.30151
2.07,33.64253,-11.8036,-38.07919
2.08,-1.52553,-13.89224,3.11385
2.09,14.64569,15.7288,18.65323
2.1,68.97228,41.40122,73.27505
2.14,-10.72237,0.512,2.79061
2.15,89.14103,22.51822,163.94968
2.2,-25.82334,-4.73016,-30.15793
2.21,-168.81227,282.10805,-275.8928
2.21,-82.2043,70.77523,-182.51204
2.22,-12.12313,-16.48652,10.299
2.23,-93.33722,87.0412,-120.8262
2.23,-12.85749,-4.93061,19.6119
2.23,207.3768,-290.11972,301.96868
2.24,38.03802,6.79383,58.46152
2.24,-0.41719,-28.17182,35.4067
2.25,34.22439,278.80229,-1.46633
2.28,8.55533,0.34242,14.33485
2.29,-62.17087,-28.95373,-92.56998
2.29,-56.69565,-98.53062,-47.3699
2.29,-4.97186,-15.80979,-11.30229
2.3,-86.54646,-73.87167,-123.69024
2.33,-54.59784,-44.01854,-63.49802
2.34,-13.04884,3.38439,20.27637
2.35,-43.05361,-37.75285,29.26968
2.38,168.495,-113.45281,35.36069
2.39,-8.43517,-110.17788,-89.57697
2.4,17.43506,2.00814,-15.97244
2.41,-15.18011,0.40883,20.66873
2.43,-5.33375,-24.24808,-6.99053
